,driver_id,predicted_career_len,rides_per_day,profit_mean,profit_std,responding,arrival,waiting,speed,total_duration,average_ride_time,average_dist_per_ride,10_to_6,9_to_5,per_20_to_22,prime_time,total_prime_time,weekend_per,lifetime_value
0,ffff51a71f2f185ec5e97d59dbcd7a78,54,8.461538462,11.99305133,8.008957759,36.76363636,20.31515152,2.973782772,8.829694648,4477.35,13.56772727,4.466385806,0.533333333,0.066666667,0.533333333,0.024661165,6625,0.763636364,5479.901916
1,fffecccc49436c5389075b13209f0dfa,51,8.638297872,12.26527708,8.468189142,23.62807882,1.549261084,13.73371105,8.263072994,5899.566667,14.53095238,4.476505407,0.204433498,0.184729064,0.204433498,0.034042048,12050,0.857142857,5403.506962
2,fff482c704d36a1afe8b8978d5486283,34,2.1875,10.23908799,5.00842013,250.4,230.1142857,2.678571429,6.297403676,461.55,13.18714286,3.096105058,0,0.857142857,0,0.006319286,175,1,761.5321693
3,ff714a67ba8c6a108261cd81e3b77f3a,81,7.950819672,11.36500328,5.934783138,13.98969072,0.441237113,3.702842377,6.406364409,7374.866667,15.20591065,3.631846775,0.002061856,0.319587629,0.002061856,0.019491878,8625,0.981443299,7319.248424
4,ff419a3476e21e269e340b5f1f05414e,61,6.722222222,13.47567478,9.731235959,299.1404959,279.1198347,8.670103093,8.129658801,4105.133333,16.96336088,5.141474247,0.05785124,0.615702479,0.05785124,0.012585868,3100,0.921487603,5525.775308
5,fed19d671569afe8a2f9fa0953dd25ca,26,4.714285714,12.50750078,8.6012331,275.4242424,264.030303,3.592592593,8.832604207,476.2166667,14.43080808,4.752070395,0.121212121,0.363636364,0.121212121,0.025373604,725,0.878787879,1533.062238
6,fe469488a23d4bdda47b83a659dcc103,71,7.605263158,10.99004798,6.930875516,155.3564014,140.3771626,6.419642857,8.359167473,3565.05,12.33581315,3.844450322,0.605536332,0.024221453,0.605536332,0.022673829,4850,0.69550173,5934.336697
7,fe35f74209d1056dd315ddb17681203d,81,8.44,10.78366136,6.315728731,131.4478673,123.1232227,2.816326531,6.46612818,5866.233333,13.90102686,3.351155933,0.014218009,0.800947867,0.014218009,0.018325217,6450,0.902843602,7372.142252
8,fdff1a7205bc3b9ab1dc5dc223782fc5,86,8.879310345,11.65268781,7.616890721,157.831068,143.7223301,3.83373494,8.792695968,6764.3,13.13456311,4.305673881,0.025242718,0.590291262,0.025242718,0.01201159,4875,0.982524272,8898.233502
9,fde60697758e68d617f471e49f65db75,5,8,11.59065425,7.550684116,232.4375,213.15625,2.541666667,10.63239591,365.0666667,11.40833333,4.522273106,0.46875,0.03125,0.46875,0.026250913,575,1,463.62617
